dataset,split,strategy,seed,model,roc_auc
freddie_mac,fm_early,class_balanced,1,tabfm,0.7649467661075371
freddie_mac,fm_early,class_balanced,2,tabfm,0.7729453464992955
freddie_mac,fm_early,class_balanced,42,tabfm,0.7700916763315508
freddie_mac,fm_early,diverse,1,tabfm,0.6114020700470283
freddie_mac,fm_early,diverse,2,tabfm,0.693499420140132
freddie_mac,fm_early,diverse,42,tabfm,0.6818676465618669
freddie_mac,fm_early,economically_similar,1,tabfm,0.6018386559957576
freddie_mac,fm_early,economically_similar,2,tabfm,0.7157616206559476
freddie_mac,fm_early,economically_similar,42,tabfm,0.7051141685839986
freddie_mac,fm_early,high_confidence,1,tabfm,0.24279999284807208
freddie_mac,fm_early,high_confidence,2,tabfm,0.22864607959157462
freddie_mac,fm_early,high_confidence,42,tabfm,0.23556170112857724
freddie_mac,fm_early,most_recent,1,tabfm,0.7234516294184958
freddie_mac,fm_early,most_recent,2,tabfm,0.7287911584352074
freddie_mac,fm_early,most_recent,42,tabfm,0.7370665959295064
freddie_mac,fm_early,random,1,tabfm,0.6018386559957576
freddie_mac,fm_early,random,2,tabfm,0.7157616206559476
freddie_mac,fm_early,random,42,tabfm,0.7051141685839986
freddie_mac,fm_late,class_balanced,1,tabfm,0.801474227782093
freddie_mac,fm_late,class_balanced,2,tabfm,0.779380321440208
freddie_mac,fm_late,class_balanced,42,tabfm,0.7926481944642528
freddie_mac,fm_late,diverse,1,tabfm,0.7097158523630756
freddie_mac,fm_late,diverse,2,tabfm,0.7048124719542781
freddie_mac,fm_late,diverse,42,tabfm,0.7364189135130811
freddie_mac,fm_late,economically_similar,1,tabfm,0.7594929555593334
freddie_mac,fm_late,economically_similar,2,tabfm,0.619719432627074
freddie_mac,fm_late,economically_similar,42,tabfm,0.7642549085086228
freddie_mac,fm_late,high_confidence,1,tabfm,0.28494191909467487
freddie_mac,fm_late,high_confidence,2,tabfm,0.307048476921632
freddie_mac,fm_late,high_confidence,42,tabfm,0.3054200857807755
freddie_mac,fm_late,most_recent,1,tabfm,0.7241726018673927
freddie_mac,fm_late,most_recent,2,tabfm,0.7435573106718102
freddie_mac,fm_late,most_recent,42,tabfm,0.7458616979213409
freddie_mac,fm_late,random,1,tabfm,0.749149598366227
freddie_mac,fm_late,random,2,tabfm,0.6735534494933507
freddie_mac,fm_late,random,42,tabfm,0.6575044844167244
lending_club,lc_post_crisis,class_balanced,1,tabfm,0.7069003630054597
lending_club,lc_post_crisis,class_balanced,2,tabfm,0.6976467372151571
lending_club,lc_post_crisis,class_balanced,42,tabfm,0.6649256118791014
lending_club,lc_post_crisis,diverse,1,tabfm,0.6855487366002591
lending_club,lc_post_crisis,diverse,2,tabfm,0.6853397389992533
